,class,length,Diam,height,whole,shu,Vis,shell,rings
393,1,0.55,0.45,0.13,0.92,0.378,0.2385,0.29,11
394,0,0.625,0.515,0.15,1.2415,0.5235,0.3065,0.36,15
395,1,0.54,0.42,0.135,0.8075,0.3485,0.1795,0.235,11
396,0,0.57,0.455,0.165,1.0595,0.44,0.2195,0.285,14
397,1,0.59,0.455,0.145,1.073,0.475,0.19,0.285,14
398,1,0.58,0.46,0.13,0.921,0.357,0.181,0.29,13
399,0,0.655,0.51,0.155,1.2895,0.5345,0.2855,0.41,11
400,1,0.655,0.53,0.175,1.2635,0.486,0.2635,0.415,15
401,1,0.625,0.5,0.195,1.369,0.5875,0.2185,0.37,17
402,0,0.625,0.5,0.15,0.953,0.3445,0.2235,0.305,15
403,0,0.64,0.52,0.175,1.248,0.4245,0.2595,0.48,12
404,0,0.605,0.485,0.165,1.0105,0.435,0.209,0.3,19
405,0,0.615,0.525,0.155,1.0385,0.427,0.2315,0.345,11
406,1,0.555,0.45,0.175,0.874,0.3275,0.202,0.305,10
407,0,0.58,0.44,0.18,0.854,0.3665,0.1635,0.245,12
408,0,0.62,0.52,0.225,1.1835,0.378,0.27,0.395,23
409,0,0.62,0.47,0.225,1.115,0.378,0.2145,0.36,15
410,0,0.6,0.505,0.19,1.129,0.4385,0.256,0.36,13
411,0,0.625,0.485,0.19,1.1745,0.4385,0.2305,0.42,17
412,1,0.6,0.47,0.175,1.105,0.4865,0.247,0.315,15
413,1,0.56,0.46,0.235,0.8395,0.3325,0.157,0.305,12
414,1,0.585,0.455,0.225,1.055,0.3815,0.221,0.365,15
415,1,0.56,0.435,0.18,0.889,0.36,0.204,0.25,11
416,0,0.455,0.35,0.14,0.5185,0.221,0.1265,0.135,10
417,0,0.49,0.38,0.145,0.6725,0.249,0.181,0.21,10
418,1,0.31,0.22,0.085,0.146,0.061,0.0365,0.045,6
419,0,0.275,0.195,0.07,0.08,0.031,0.0215,0.025,5
420,1,0.27,0.195,0.08,0.1,0.0385,0.0195,0.03,6
421,1,0.4,0.29,0.115,0.2795,0.1115,0.0575,0.075,9
422,1,0.28,0.2,0.08,0.0915,0.033,0.0215,0.03,5
423,1,0.325,0.23,0.09,0.147,0.06,0.034,0.045,4
424,0,0.345,0.25,0.09,0.203,0.078,0.059,0.055,6
425,1,0.21,0.15,0.05,0.0385,0.0155,0.0085,0.01,3
426,0,0.36,0.27,0.09,0.1885,0.0845,0.0385,0.055,5
427,1,0.2,0.14,0.055,0.035,0.0145,0.008,0.01,5
428,1,0.235,0.16,0.06,0.0545,0.0265,0.0095,0.015,4
429,1,0.175,0.125,0.04,0.024,0.0095,0.006,0.005,4
430,1,0.155,0.11,0.04,0.0155,0.0065,0.003,0.005,3
431,0,0.57,0.445,0.155,0.733,0.282,0.159,0.235,14
432,0,0.57,0.45,0.16,0.9715,0.3965,0.255,0.26,12
433,1,0.385,0.3,0.095,0.24,0.0885,0.059,0.085,9
434,0,0.46,0.355,0.13,0.458,0.192,0.1055,0.13,13
435,0,0.435,0.335,0.11,0.38,0.1695,0.086,0.11,9
436,1,0.29,0.23,0.075,0.1165,0.043,0.0255,0.04,7
437,1,0.275,0.205,0.07,0.094,0.0335,0.02,0.0325,5
438,0,0.375,0.29,0.115,0.2705,0.093,0.066,0.0885,10
439,0,0.5,0.375,0.14,0.604,0.242,0.1415,0.179,15
440,0,0.44,0.355,0.115,0.415,0.1585,0.0925,0.131,11
441,1,0.42,0.325,0.115,0.2885,0.1,0.057,0.1135,15
442,1,0.445,0.35,0.115,0.3615,0.1565,0.0695,0.117,8
443,0,0.38,0.29,0.105,0.257,0.099,0.051,0.085,10
444,1,0.32,0.245,0.075,0.1555,0.0585,0.038,0.049,11
445,1,0.255,0.195,0.065,0.08,0.0315,0.018,0.027,8
446,1,0.205,0.155,0.045,0.0425,0.017,0.0055,0.0155,7
447,0,0.565,0.45,0.16,0.795,0.3605,0.1555,0.23,12
448,0,0.66,0.5,0.165,1.1905,0.4585,0.298,0.37,12
449,0,0.66,0.53,0.17,1.326,0.519,0.2625,0.44,13
450,0,0.44,0.34,0.105,0.364,0.148,0.0805,0.1175,8
451,0,0.475,0.35,0.115,0.452,0.1715,0.092,0.155,11
452,0,0.545,0.415,0.15,0.7335,0.2795,0.163,0.2185,11
453,0,0.47,0.355,0.13,0.5465,0.2005,0.126,0.185,14
454,1,0.35,0.255,0.065,0.179,0.0705,0.0385,0.06,10
455,1,0.28,0.21,0.08,0.1085,0.041,0.0265,0.0345,7
456,0,0.41,0.32,0.115,0.387,0.165,0.1005,0.0985,11
457,0,0.59,0.455,0.155,1.066,0.382,0.2275,0.415,20
458,0,0.57,0.44,0.14,0.9535,0.3785,0.201,0.305,17
459,0,0.61,0.475,0.14,1.133,0.5275,0.2355,0.35,11
460,0,0.585,0.435,0.175,0.982,0.4055,0.2495,0.27,10
461,0,0.63,0.48,0.175,1.3675,0.5015,0.3035,0.515,17
462,0,0.625,0.49,0.175,1.233,0.5565,0.247,0.365,11
463,0,0.645,0.525,0.19,1.4635,0.6615,0.3435,0.435,19
464,0,0.41,0.305,0.1,0.363,0.1735,0.065,0.11,11
465,0,0.55,0.41,0.145,0.8285,0.3095,0.1905,0.25,13
466,1,0.45,0.335,0.14,0.4625,0.164,0.076,0.15,14
467,0,0.405,0.31,0.12,0.3095,0.138,0.058,0.095,13
468,0,0.37,0.29,0.115,0.25,0.111,0.057,0.075,9
469,0,0.66,0.52,0.18,1.514,0.526,0.2975,0.42,19
470,1,0.535,0.42,0.15,0.6995,0.2575,0.153,0.24,12
471,0,0.55,0.43,0.14,0.7135,0.2565,0.186,0.225,9
472,0,0.56,0.445,0.195,0.981,0.305,0.2245,0.335,16
473,0,0.385,0.315,0.11,0.286,0.1225,0.0635,0.0835,10
474,0,0.39,0.3,0.1,0.265,0.1075,0.06,0.0865,13
475,1,0.345,0.27,0.09,0.195,0.078,0.0455,0.059,9
476,1,0.37,0.285,0.1,0.228,0.0675,0.0675,0.081,10
477,1,0.35,0.265,0.09,0.1775,0.0575,0.042,0.068,12
478,0,0.44,0.345,0.17,0.4085,0.15,0.0825,0.1515,12
479,1,0.195,0.145,0.05,0.032,0.01,0.008,0.012,4
480,1,0.325,0.24,0.075,0.155,0.0475,0.0355,0.06,9
481,1,0.415,0.345,0.135,0.3865,0.128,0.07,0.148,13
482,0,0.47,0.355,0.14,0.433,0.1525,0.095,0.152,12
483,1,0.32,0.24,0.085,0.17,0.0655,0.047,0.049,7
484,1,0.31,0.225,0.075,0.1295,0.0455,0.0335,0.044,9
485,1,0.235,0.17,0.055,0.0515,0.018,0.0105,0.0195,7
486,1,0.345,0.255,0.08,0.169,0.06,0.0425,0.054,10
487,0,0.5,0.385,0.115,0.6785,0.2945,0.138,0.195,12
488,0,0.5,0.385,0.105,0.498,0.1795,0.1095,0.17,17
489,0,0.525,0.405,0.16,0.658,0.2655,0.1125,0.225,12
490,0,0.425,0.335,0.095,0.322,0.1205,0.061,0.125,10
491,0,0.38,0.305,0.095,0.2815,0.1255,0.0525,0.09,8
492,1,0.34,0.265,0.085,0.1835,0.077,0.046,0.065,10
493,0,0.43,0.34,0.12,0.391,0.1555,0.095,0.1405,7
494,1,0.46,0.365,0.125,0.467,0.1895,0.0945,0.158,10
495,1,0.36,0.295,0.1,0.2105,0.066,0.0525,0.075,9
496,1,0.355,0.265,0.09,0.168,0.05,0.041,0.063,8
497,1,0.38,0.235,0.1,0.258,0.1055,0.054,0.08,7
498,1,0.355,0.26,0.085,0.1905,0.081,0.0485,0.055,6
499,0,0.51,0.4,0.13,0.5735,0.219,0.1365,0.195,13
500,1,0.325,0.24,0.085,0.173,0.0795,0.038,0.05,7
501,0,0.59,0.45,0.16,0.9,0.358,0.156,0.315,19
502,1,0.33,0.255,0.095,0.1875,0.0735,0.045,0.06,7
503,1,0.45,0.34,0.13,0.3715,0.1605,0.0795,0.105,9
504,1,0.33,0.215,0.075,0.1145,0.045,0.0265,0.035,6
505,1,0.48,0.375,0.145,0.777,0.216,0.13,0.17,9
506,0,0.475,0.36,0.125,0.447,0.1695,0.081,0.14,9
507,1,0.255,0.18,0.065,0.079,0.034,0.014,0.025,5
508,1,0.31,0.225,0.08,0.1345,0.054,0.024,0.05,7
509,0,0.37,0.28,0.11,0.2305,0.0945,0.0465,0.075,10
510,1,0.295,0.215,0.075,0.129,0.05,0.0295,0.04,7
511,0,0.555,0.435,0.165,0.97,0.336,0.2315,0.295,17
512,0,0.615,0.515,0.17,1.14,0.4305,0.2245,0.42,16
513,0,0.585,0.475,0.185,0.9585,0.4145,0.1615,0.33,11
514,0,0.415,0.34,0.13,0.3675,0.146,0.0885,0.12,10
515,0,0.38,0.305,0.105,0.281,0.1045,0.0615,0.09,12
516,0,0.395,0.295,0.095,0.2245,0.078,0.054,0.08,10
517,1,0.455,0.35,0.12,0.4835,0.1815,0.144,0.16,11
518,0,0.485,0.38,0.15,0.605,0.2155,0.14,0.18,15
519,1,0.55,0.425,0.155,0.9175,0.2775,0.243,0.335,13
520,0,0.45,0.35,0.145,0.5425,0.1765,0.123,0.175,13
521,1,0.475,0.385,0.145,0.6175,0.235,0.108,0.215,14
522,0,0.5,0.38,0.155,0.655,0.2405,0.143,0.205,17
523,0,0.53,0.41,0.165,0.8115,0.24,0.169,0.24,19
524,1,0.49,0.39,0.15,0.573,0.225,0.124,0.17,21
525,0,0.49,0.385,0.15,0.7865,0.241,0.14,0.24,23
526,0,0.52,0.395,0.18,0.64,0.158,0.11,0.245,22
527,1,0.54,0.415,0.145,0.74,0.2635,0.168,0.245,12
528,0,0.5,0.375,0.115,0.5945,0.185,0.148,0.19,11
529,0,0.45,0.38,0.165,0.8165,0.25,0.1915,0.265,23
530,0,0.37,0.275,0.1,0.2225,0.093,0.026,0.08,8
531,1,0.485,0.37,0.14,0.5725,0.204,0.1415,0.175,10
532,0,0.435,0.325,0.115,0.3915,0.154,0.094,0.12,7
533,1,0.535,0.405,0.185,0.8345,0.3175,0.1725,0.29,16
534,1,0.51,0.4,0.14,0.6515,0.2455,0.1665,0.185,10
535,1,0.565,0.44,0.185,0.909,0.344,0.2325,0.255,15
536,0,0.535,0.4,0.15,0.8045,0.3345,0.2125,0.21,13
537,0,0.535,0.405,0.125,0.927,0.26,0.1425,0.345,16
538,1,0.525,0.4,0.17,0.7305,0.279,0.2055,0.195,11
539,1,0.59,0.44,0.15,0.9555,0.366,0.2425,0.295,11
540,1,0.5,0.375,0.15,0.636,0.2535,0.145,0.19,10
541,0,0.43,0.325,0.115,0.3865,0.1475,0.1065,0.11,11
542,1,0.38,0.29,0.12,0.283,0.1175,0.0655,0.085,9
543,1,0.28,0.205,0.1,0.1165,0.0545,0.0285,0.03,5
544,0,0.43,0.335,0.12,0.444,0.155,0.1145,0.14,13
545,0,0.395,0.315,0.105,0.3515,0.1185,0.091,0.1195,16
546,1,0.385,0.285,0.105,0.2905,0.1215,0.0685,0.0875,12
547,0,0.48,0.385,0.135,0.536,0.1895,0.142,0.173,14
548,0,0.445,0.33,0.105,0.4525,0.18,0.103,0.123,9
549,1,0.395,0.295,0.115,0.316,0.1205,0.0595,0.1105,12
550,1,0.4,0.3,0.125,0.417,0.191,0.09,0.1175,9
551,1,0.415,0.325,0.14,0.417,0.1535,0.1015,0.144,10
552,1,0.315,0.25,0.09,0.203,0.0615,0.037,0.0795,11
553,0,0.345,0.26,0.09,0.207,0.0775,0.0435,0.0765,10
554,1,0.36,0.295,0.13,0.2765,0.0895,0.057,0.1005,10
555,1,0.375,0.3,0.1,0.2465,0.104,0.0475,0.083,11
556,1,0.355,0.265,0.085,0.201,0.069,0.053,0.0695,8
557,1,0.35,0.255,0.08,0.1915,0.08,0.0385,0.063,9
558,1,0.555,0.455,0.16,1.0575,0.3925,0.228,0.293,13
559,1,0.555,0.44,0.15,1.092,0.416,0.212,0.4405,15
560,1,0.525,0.41,0.13,0.99,0.3865,0.243,0.295,15
561,1,0.465,0.36,0.08,0.488,0.191,0.125,0.155,11
562,0,0.49,0.36,0.11,0.5005,0.161,0.107,0.195,17
563,1,0.4,0.305,0.085,0.297,0.108,0.0705,0.1,10
564,0,0.48,0.375,0.105,0.525,0.2185,0.1195,0.155,12
565,1,0.505,0.4,0.125,0.77,0.2735,0.159,0.255,13
566,0,0.52,0.4,0.12,0.6515,0.261,0.2015,0.165,15
567,1,0.525,0.4,0.13,0.8295,0.2405,0.1825,0.275,11
568,1,0.545,0.42,0.13,0.879,0.374,0.1695,0.23,13
569,1,0.52,0.4,0.12,0.823,0.298,0.1805,0.265,15
570,1,0.505,0.38,0.13,0.656,0.227,0.1785,0.22,13
571,1,0.525,0.425,0.12,0.8665,0.2825,0.176,0.29,18
572,1,0.51,0.39,0.125,0.6565,0.262,0.1835,0.175,10
573,1,0.52,0.385,0.115,0.669,0.2385,0.172,0.205,12
574,0,0.52,0.405,0.125,0.6435,0.2415,0.1735,0.21,12
575,1,0.535,0.41,0.135,0.862,0.2855,0.1525,0.32,14
576,1,0.445,0.345,0.09,0.3795,0.143,0.074,0.125,10
577,1,0.53,0.44,0.205,0.835,0.32,0.2175,0.245,14
578,0,0.36,0.265,0.09,0.2065,0.078,0.057,0.06,8
579,0,0.535,0.42,0.15,0.7365,0.2785,0.186,0.215,14
580,0,0.52,0.405,0.14,0.8175,0.2795,0.183,0.26,17
581,1,0.53,0.415,0.13,0.8425,0.275,0.1945,0.265,20
582,0,0.53,0.42,0.13,1.001,0.34,0.226,0.265,17
583,0,0.66,0.52,0.2,1.676,0.673,0.4805,0.45,17
584,1,0.52,0.385,0.14,0.6595,0.2485,0.2035,0.16,9
585,1,0.535,0.42,0.13,0.8055,0.301,0.181,0.28,14
586,1,0.695,0.515,0.175,1.5165,0.578,0.4105,0.39,15
587,0,0.51,0.39,0.105,0.612,0.187,0.15,0.195,13
588,1,0.485,0.355,0.12,0.547,0.215,0.1615,0.14,10
589,0,0.605,0.46,0.17,1.122,0.347,0.3045,0.315,13
590,0,0.58,0.455,0.165,1.1365,0.369,0.3005,0.275,13
591,1,0.65,0.515,0.175,1.4805,0.5295,0.272,0.525,20
592,1,0.62,0.505,0.185,1.5275,0.69,0.368,0.35,13
593,1,0.615,0.525,0.155,1.1375,0.367,0.236,0.37,20
594,0,0.605,0.495,0.19,1.437,0.469,0.2655,0.41,15
595,1,0.57,0.44,0.155,1.116,0.4775,0.2315,0.27,13
596,1,0.57,0.43,0.12,1.0615,0.348,0.167,0.31,15
597,1,0.585,0.405,0.15,1.2565,0.435,0.202,0.325,15
598,0,0.55,0.44,0.155,0.946,0.313,0.1825,0.335,16
599,0,0.54,0.44,0.135,0.959,0.2385,0.221,0.3,17
600,1,0.64,0.51,0.19,1.613,0.6215,0.361,0.47,14
601,0,0.61,0.47,0.145,1.153,0.403,0.296,0.32,14
602,1,0.545,0.45,0.15,0.978,0.3365,0.1905,0.3,11
603,0,0.59,0.445,0.13,1.1325,0.3825,0.234,0.32,13
604,1,0.345,0.27,0.095,0.197,0.0665,0.05,0.07,9
605,0,0.55,0.43,0.155,0.785,0.289,0.227,0.233,11
606,0,0.53,0.425,0.17,0.949,0.3485,0.2395,0.278,17
607,0,0.53,0.455,0.165,0.9805,0.3155,0.2815,0.2965,11
608,1,0.385,0.275,0.115,0.2685,0.0975,0.0825,0.085,8
609,1,0.455,0.34,0.135,0.462,0.1675,0.158,0.12,9
610,1,0.49,0.38,0.14,0.7605,0.245,0.167,0.185,10
611,1,0.53,0.41,0.165,0.732,0.189,0.17,0.31,11
612,1,0.505,0.385,0.145,0.6775,0.236,0.179,0.2,15
613,1,0.49,0.38,0.14,0.6385,0.2305,0.142,0.195,13
614,1,0.465,0.35,0.14,0.5755,0.2015,0.1505,0.19,15
615,0,0.47,0.36,0.145,0.537,0.1725,0.1375,0.195,15
616,1,0.56,0.41,0.165,0.93,0.3505,0.237,0.3,13
617,1,0.505,0.385,0.15,0.6415,0.246,0.152,0.215,12
618,1,0.515,0.435,0.145,0.8815,0.292,0.206,0.255,10
619,1,0.55,0.415,0.175,1.042,0.3295,0.2325,0.2905,15
620,0,0.515,0.39,0.13,0.5755,0.1975,0.13,0.1845,9
621,1,0.495,0.385,0.135,0.709,0.211,0.1375,0.262,12
622,0,0.505,0.39,0.16,0.644,0.2475,0.2025,0.1635,9
623,0,0.6,0.465,0.165,0.8875,0.309,0.246,0.262,12
624,0,0.57,0.465,0.16,0.8935,0.3145,0.2575,0.263,10
625,0,0.485,0.375,0.135,0.556,0.1925,0.1315,0.1685,10
626,1,0.47,0.37,0.18,0.51,0.1915,0.1285,0.1625,9
627,1,0.575,0.45,0.165,0.9215,0.3275,0.225,0.256,12
628,1,0.58,0.465,0.16,1.0345,0.315,0.26,0.3635,12
629,1,0.515,0.405,0.145,0.695,0.215,0.1635,0.234,15
630,1,0.53,0.41,0.155,0.7155,0.2805,0.1685,0.214,11
631,1,0.44,0.335,0.11,0.394,0.157,0.096,0.122,9
632,1,0.52,0.42,0.16,0.745,0.255,0.157,0.2885,11
633,0,0.425,0.345,0.11,0.3665,0.125,0.081,0.117,11
634,1,0.46,0.34,0.135,0.495,0.1655,0.117,0.185,10
635,1,0.45,0.335,0.125,0.349,0.119,0.1055,0.115,10
636,1,0.425,0.33,0.13,0.4405,0.152,0.0935,0.155,9
637,1,0.515,0.38,0.135,0.6615,0.2875,0.2095,0.155,10
638,1,0.405,0.305,0.12,0.3185,0.1235,0.0905,0.095,7
639,0,0.48,0.4,0.125,0.759,0.2125,0.179,0.24,15
640,0,0.44,0.34,0.13,0.4195,0.153,0.1155,0.13,10
641,0,0.52,0.41,0.115,0.807,0.2855,0.179,0.235,12
642,1,0.505,0.405,0.14,0.875,0.2665,0.174,0.285,12
643,0,0.49,0.365,0.13,0.6835,0.165,0.1315,0.205,21
644,1,0.415,0.305,0.1,0.325,0.156,0.0505,0.091,6
645,1,0.47,0.375,0.12,0.5805,0.266,0.0935,0.169,8
646,0,0.48,0.365,0.135,0.6395,0.2945,0.113,0.175,8
647,1,0.49,0.385,0.125,0.609,0.3065,0.096,0.1775,8
648,0,0.495,0.41,0.125,0.7555,0.3355,0.129,0.214,9
649,1,0.5,0.4,0.125,0.5975,0.27,0.1275,0.166,9
650,1,0.505,0.44,0.14,0.8275,0.3415,0.1855,0.239,8
651,1,0.525,0.395,0.13,0.7635,0.3375,0.1425,0.225,8
652,1,0.54,0.405,0.125,0.891,0.4815,0.1915,0.202,9
653,0,0.54,0.42,0.14,0.805,0.369,0.1725,0.21,11
654,0,0.545,0.44,0.135,0.9185,0.429,0.2015,0.2375,10
655,0,0.55,0.43,0.125,0.923,0.4035,0.175,0.283,8
656,1,0.55,0.45,0.15,1.0145,0.407,0.2015,0.2875,10
657,0,0.55,0.45,0.15,0.875,0.362,0.1755,0.2765,10
658,1,0.555,0.435,0.145,0.9685,0.4985,0.168,0.2385,9
659,1,0.565,0.45,0.155,1.0595,0.4735,0.24,0.265,10
660,1,0.57,0.455,0.15,0.952,0.3895,0.2155,0.2745,9
661,1,0.57,0.435,0.13,0.7535,0.349,0.1755,0.194,10
662,0,0.575,0.465,0.14,0.958,0.442,0.1815,0.2705,9
663,1,0.59,0.475,0.165,1.077,0.4545,0.244,0.3095,9
664,1,0.59,0.46,0.13,1.102,0.455,0.2055,0.33,12
665,0,0.595,0.48,0.15,1.11,0.498,0.228,0.33,10
666,0,0.595,0.48,0.16,1.2095,0.5225,0.296,0.32,8
667,0,0.595,0.475,0.16,1.1405,0.547,0.231,0.271,6
668,0,0.595,0.465,0.14,1.113,0.5175,0.244,0.305,12
669,1,0.6,0.475,0.175,1.3445,0.549,0.2875,0.36,11
670,0,0.6,0.475,0.155,1.21,0.653,0.1695,0.3205,10
671,1,0.6,0.495,0.175,1.29,0.606,0.276,0.3445,11
672,0,0.605,0.475,0.175,1.382,0.609,0.2325,0.3985,10
673,1,0.605,0.455,0.16,1.1035,0.421,0.3015,0.325,9
674,0,0.615,0.5,0.175,1.377,0.5585,0.33,0.292,12
675,0,0.615,0.52,0.15,1.3435,0.629,0.2605,0.345,10
676,1,0.615,0.51,0.15,1.296,0.545,0.3315,0.32,9
677,1,0.615,0.505,0.165,1.34,0.5315,0.2815,0.41,12
678,0,0.62,0.505,0.16,1.3725,0.6285,0.275,0.3685,11
679,1,0.62,0.5,0.165,1.307,0.6355,0.2545,0.315,9
680,0,0.625,0.49,0.155,1.2085,0.465,0.162,0.411,11
681,0,0.625,0.49,0.2,1.3825,0.5895,0.285,0.381,11
682,1,0.63,0.505,0.165,1.26,0.4525,0.2755,0.406,14
683,1,0.635,0.51,0.17,1.3555,0.619,0.305,0.39,9
684,0,0.635,0.5,0.15,1.376,0.6495,0.361,0.31,10
685,0,0.635,0.485,0.165,1.2945,0.668,0.2605,0.2715,9
686,0,0.64,0.51,0.165,1.486,0.7595,0.332,0.321,8
687,1,0.65,0.525,0.175,1.4715,0.675,0.315,0.399,11
688,1,0.655,0.52,0.165,1.4095,0.586,0.291,0.405,9
689,1,0.655,0.58,0.205,2.0805,0.959,0.3415,0.601,17
690,1,0.66,0.53,0.17,1.3905,0.5905,0.212,0.453,15
691,1,0.66,0.52,0.19,1.558,0.755,0.298,0.4,10
692,0,0.67,0.585,0.16,1.309,0.5445,0.2945,0.413,10
693,0,0.675,0.525,0.17,1.8095,0.784,0.391,0.455,12
694,0,0.675,0.525,0.155,1.4785,0.628,0.3405,0.42,9
695,0,0.68,0.56,0.195,1.7775,0.861,0.322,0.415,11
696,0,0.685,0.54,0.16,1.6675,0.833,0.3775,0.475,11
697,0,0.695,0.56,0.22,1.834,0.8455,0.422,0.455,11
698,1,0.73,0.595,0.23,2.8255,1.1465,0.419,0.897,17
699,0,0.445,0.335,0.11,0.4355,0.2025,0.1095,0.1195,6
700,0,0.465,0.35,0.125,0.482,0.23,0.106,0.1095,6
701,1,0.47,0.365,0.12,0.612,0.327,0.15,0.14,8
702,0,0.47,0.365,0.12,0.582,0.29,0.092,0.146,8
703,1,0.475,0.37,0.125,0.537,0.222,0.1215,0.15,9
704,0,0.475,0.36,0.12,0.5915,0.3245,0.11,0.127,6
705,1,0.48,0.375,0.115,0.6765,0.3205,0.1065,0.17,6
706,1,0.48,0.385,0.145,0.64,0.2925,0.1405,0.1575,6
707,1,0.48,0.36,0.1,0.439,0.194,0.099,0.115,8
708,1,0.48,0.365,0.12,0.6015,0.312,0.117,0.14,7
709,0,0.485,0.37,0.115,0.4785,0.1995,0.0955,0.129,7
710,1,0.49,0.385,0.125,0.649,0.32,0.124,0.1695,8
711,1,0.495,0.395,0.135,0.6335,0.3035,0.1295,0.1495,8
712,1,0.495,0.4,0.135,0.61,0.272,0.1435,0.144,7
713,1,0.5,0.39,0.135,0.6595,0.3145,0.1535,0.1565,6
714,1,0.5,0.385,0.135,0.6425,0.3195,0.129,0.1535,7
715,1,0.5,0.4,0.125,0.6725,0.336,0.12,0.1825,7
716,0,0.505,0.39,0.13,0.674,0.3165,0.141,0.1785,9
717,1,0.505,0.41,0.125,0.642,0.289,0.133,0.155,9
718,1,0.51,0.39,0.135,0.769,0.3935,0.1455,0.19,8
719,1,0.51,0.405,0.15,0.7035,0.347,0.134,0.1885,8
720,1,0.51,0.41,0.145,0.796,0.3865,0.1815,0.1955,8
721,0,0.515,0.43,0.14,0.834,0.367,0.2,0.23,8
722,1,0.515,0.39,0.155,0.7125,0.3695,0.137,0.155,7
723,0,0.525,0.415,0.14,0.724,0.3475,0.173,0.175,8
724,1,0.525,0.4,0.14,0.7325,0.334,0.1575,0.17,11
725,0,0.53,0.425,0.13,0.7585,0.325,0.197,0.205,8
726,0,0.53,0.425,0.15,0.8495,0.328,0.232,0.202,8
727,1,0.53,0.405,0.125,0.6515,0.2715,0.1605,0.186,7
728,0,0.535,0.4,0.135,0.8215,0.3935,0.196,0.205,8
729,1,0.535,0.43,0.14,0.7165,0.2855,0.1595,0.2155,8
730,1,0.535,0.435,0.14,0.874,0.3735,0.229,0.2195,8
731,0,0.55,0.445,0.155,0.9905,0.544,0.178,0.218,9
732,0,0.55,0.43,0.14,0.8105,0.368,0.161,0.275,9
733,0,0.56,0.455,0.16,0.967,0.4525,0.207,0.274,9
734,0,0.565,0.4,0.13,0.6975,0.3075,0.1665,0.18,8
735,1,0.57,0.45,0.155,1.195,0.5625,0.2565,0.295,10
736,1,0.57,0.45,0.155,1.1935,0.513,0.21,0.343,10
737,0,0.57,0.455,0.15,1.107,0.54,0.255,0.27,8
738,1,0.57,0.445,0.14,1.0635,0.5265,0.2195,0.24,8
739,1,0.57,0.46,0.17,0.9035,0.4075,0.1935,0.214,7
740,1,0.575,0.475,0.16,1.114,0.4955,0.2745,0.29,9
741,0,0.575,0.46,0.16,1.103,0.538,0.221,0.249,9
742,0,0.58,0.46,0.15,1.1155,0.5575,0.2255,0.29,7
743,0,0.58,0.46,0.18,1.0515,0.4095,0.2595,0.276,8
744,1,0.58,0.455,0.15,1.012,0.4985,0.2115,0.2835,10
745,0,0.58,0.45,0.145,1.137,0.5585,0.22,0.29,8
746,1,0.58,0.49,0.13,1.1335,0.586,0.2565,0.237,9
747,1,0.59,0.465,0.155,1.136,0.5245,0.2615,0.275,11
748,1,0.59,0.47,0.16,1.206,0.479,0.2425,0.309,8
749,0,0.59,0.455,0.145,1.063,0.5155,0.2445,0.25,8
750,0,0.595,0.47,0.155,1.121,0.4515,0.178,0.155,11
751,0,0.595,0.45,0.15,1.114,0.5865,0.2205,0.25,11
752,1,0.595,0.475,0.165,1.213,0.621,0.2435,0.274,9
753,0,0.595,0.46,0.14,1.0045,0.4655,0.2095,0.2515,9
754,1,0.595,0.455,0.15,1.044,0.518,0.2205,0.27,9
755,0,0.605,0.49,0.15,1.1345,0.5265,0.2645,0.295,9
756,1,0.605,0.475,0.155,1.161,0.572,0.2455,0.275,9
757,1,0.605,0.47,0.165,1.2315,0.6025,0.262,0.2925,11
758,1,0.61,0.47,0.15,1.1625,0.565,0.258,0.3085,11
759,1,0.61,0.475,0.155,1.168,0.554,0.239,0.3295,10
760,0,0.615,0.48,0.16,1.2525,0.585,0.2595,0.33,8
761,0,0.62,0.51,0.18,1.3315,0.594,0.276,0.388,11
762,0,0.625,0.48,0.17,1.3525,0.6235,0.278,0.365,10
763,1,0.625,0.49,0.175,1.3325,0.5705,0.271,0.405,10
764,0,0.625,0.475,0.175,1.1435,0.4755,0.2475,0.349,10
765,0,0.625,0.5,0.165,1.288,0.573,0.3035,0.315,9
766,0,0.625,0.485,0.2,1.38,0.5845,0.302,0.401,9
767,1,0.63,0.485,0.155,1.278,0.637,0.275,0.31,8
768,0,0.63,0.495,0.165,1.3075,0.599,0.284,0.315,11
769,1,0.63,0.48,0.15,1.1785,0.5185,0.248,0.3235,8
770,1,0.635,0.49,0.175,1.375,0.623,0.2705,0.395,11
771,1,0.635,0.525,0.185,1.4065,0.684,0.3,0.3745,10
772,1,0.64,0.505,0.155,1.4025,0.705,0.2655,0.335,10
773,0,0.64,0.5,0.17,1.5175,0.693,0.326,0.409,11
774,0,0.64,0.5,0.175,1.394,0.4935,0.291,0.4,10
775,0,0.645,0.5,0.155,1.2205,0.6145,0.236,0.3185,10
776,1,0.645,0.52,0.175,1.636,0.779,0.342,0.432,11
777,1,0.645,0.52,0.175,1.561,0.709,0.3555,0.4,8
778,0,0.645,0.505,0.165,1.4325,0.684,0.308,0.336,8
779,1,0.645,0.5,0.175,1.3385,0.633,0.299,0.349,11
780,0,0.645,0.5,0.16,1.2465,0.5475,0.327,0.3,10
781,0,0.645,0.515,0.15,1.212,0.515,0.2055,0.385,10
782,1,0.65,0.495,0.16,1.304,0.57,0.312,0.3725,9
783,1,0.65,0.52,0.21,1.6785,0.6665,0.308,0.46,11
